,Text,Mylabel,LabelPrediction
0,date publication august airstrikes kill seven wound dozens last rebelheld area syrias third city homs tags syria homs seige napalm incendiary bombs jets thought belong syrian government struck besieged alwaer neighborhood city homs sunday residents monitor said according reuters dozen airstrikes residential area killed least seven people injured dozens civilians woman child also among dead britainbased syrian observatory human rights said videos images also emerged social media showing children afflicted burns activists say caused incendiary weapons escalation attacks came day damascus suburb daraya evacuated rebels relentless bombing tough siege strikes first kind homs rebelheld areas year december local leaders government agreed unsponsored deal would see fighters evacuated regime take control city progress seen plan requires local resistors surrender heavy weapons prior truce homs allowed withdrawal fighters old city leaving alwaer rebel hands since neighbourhood choked seige enforced government troops loyalist militias blocked deliveries supplies aid area save unled deliveries estimated civilians currently trapped alwaer alongside several thousand fighters seige alwaer part washington decried damascus surrenderorstarve tactic beseiging rebelcontrolled areas capitulation death read also,0.0,1
1,august islamic state executed people syrian tribe monitoring group oliver holmes suleiman alkhalidi islamic state militant group executed members tribe battling eastern syria past two weeks majority civilians human rights monitoring group activists said saturday syrian observatory human rights tracked violence sides threeyearold conflict said reliable sources reported beheadings used execute many alsheitaat tribe deir alzor province conflict islamic state alsheitaat tribe number flared militants took two oil fields july executed alsheitaat observatory director rami abdelrahman said telephone britain arrested judged killed reuters independently verify reports syria due security conditions reporting restrictions proclaiming caliphate straddling parts iraq syria islamic state swept across northern iraq recent weeks pushing back kurdish regional forces driving tens thousands muslims christians members yazidi religious minority homes prompting first yous air strikes iraq since withdrawal american troops insurgents also tightening grip syria control roughly third mostly rural areas north east activist deir alzor spoke condition anonymity told reuters men executed one day town ghraneij one three main towns alsheitaat tribal heartland islamic state stormed town earlier week another opposition activist deir alzor said residents alsheitaat towns given three days leave executed storming alsheitaat area around rest killed course battles told reuters condition anonymity protect identity civilians fleeing alsheitaat towns either taken sanctuary villages travelled iraq said people killed syrias civil war pits overwhelmingly sunni muslim rebels president bashar alassad member shiitederived alawite minority backed shiite militias iraq lebanon insurgency split competing factions syria islamic state emerging powerful tribal powers syria iraq make choice fighting islamic state pledging allegiance friday video posted youtube showed men said alsheitaat towns kishkeih abu hammam pledging full support islamic state say islamic state stands justice tribal member sitting room dozens men said statement read head alsheitaat tribe sheikh rafaa aakla alraju called video message tribes join fight militants appeal tribes stand us turn next islamic state done us tribes targeted alsheitaat next target said video posted youtube islamic state condemned friday youn security council resolution gross systematic widespread abuses human rights violations international humanitarian law editing stephen powell sonya hepinstall standardsthe thomson reuters trust principles,0.0,1
2,wed jul israeli strike syrian town kills soldiers israeli air strike governmentheld village syrian side golan heights ceasefire line killed five syrian forces wednesday monitoring group said israeli plane hit car inside town hader killing two men popular committee forces town said rami abdel rahman director syrian observatory human rights hader druze village lies along ceasefire line israelioccupied portion golan heights plateau west border damascus province northeast according hezbollahs official television station almanar two members syrias national defence forces killed israeli drone targeted car entrance hader quneitra province national defence forces fighters operating throughout syria rebel fighters surrounded village hader june fierce clashes syrias national defence forces area druze minority expressed concern brethren syria would targeted rebels according afp druze offshoot shiite islam officials say northern israel another israelioccupied golan israel seized square kilometres golan heights neighboring syria six day war,1.0,1
3,thu dec us airstrikes kill civilians syrias deir ezzor least syrian civilians including women children killed us airstrikes countrys eastern deir ezzor province says ukbased monitoring group presstv least civilians among eight children six women killed wednesday dawn airstrikes carried usled coalition targeting village controlled isis eastern banks euphrates river said socalled syrian observatory human rights added killed members family taken shelter location killed usled coalition conducting airstrikes said isis targets inside syria since september without authorization damascus government un mandate military alliance repeatedly accused targeting killing civilians also largely incapable achieving declared goal destroying isis photo smoke seen following us airstrike western raqqah syria july afp,1.0,1
4,published july least civilians including women children killed friday air raid syrian regime army oppositionheld neighborhood tareeq albab aleppo syrias largest city according proopposition civil defense source ground missiles fired syrian warplane also wounded others ibrahim abu leys told anadolu agency syria locked vicious civil war since early bashar alassad regime cracked prodemocracy protests erupted part arab spring uprisings unexpected ferocity disproportionate force since quarter million people killed million displaced throughout warbattered country according un syrian center policy research ngo however put death toll fiveyear conflict high,1.0,1
5,monitors killed missile strike eastern syria city ap friday oct syrian opposition activists say civilians including children killed missile slammed governmentheld besieged neighborhood eastern city deir elzour deirezzor monitoring group said missile hit near school thursday evening qusour neighborhood among killed three children three women said friday blaming islamic state group attack said attack destroyed school nearby residential building britainbased syrian observatory human rights also reported incident putting number civilians killed syrian troops broke nearly threeyear siege parts deir elzour last month fighting liberate remaining parts city,0.0,1
6,car bomb blast kills syrias homs ngo afp thursday mar least people killed others wounded car bomb blast central syrian city homs thursday ngo said least people killed others injured armenian district home mostly christians alawites said rami abdel rahman director syrian observatory human rights syrias president bashar alassad comes alawite community religious minority stems shiite islam syrias state news agency sana reported terrorist attack main street district caused deaths injuries damage neighbourhood east homs government control homs dubbed capital syrias revolution prominent wellattended antigovernment protests scene fierce fighting regime rebels part old city rebel control subjected tight government siege left several thousand civilians trapped recent weeks un red crescent teams able evacuate civilians distribute food medicine remaining besieged neighbourhoods operations halted,1.0,1
7,wed aug isil uses chemical weapons syrias aleppo syrian popular defense forces reported terrorists fired shells filled toxic gas syrian city aleppo killing five civilians terrorists used weapon causing asphyxia damaging nervous system five people died suffocation militia member said syria mired civil war since government forces loyal president bashar assad fighting numerous opposition factions extremist groups aleppo partially controlled jabhat fatah al sham previously known al nusra front terrorist group outlawed russia countries along daesh sputnik reported,0.0,1
8,updated get short url shelling central neighborhoods damascus left six people dead wounded moscow sputnik six people killed injured shelling central neighborhoods damascus sunday hospital staff told ria novosti result todays shelling six people died citizens hospitalized hospital staff said two shells exploded shaalan district city center others blew area old town near thawra street ria novosti correspondent reported,1.0,1
9,posted april asharq alawsat english killed suspected gas attack syrias idlib dozens people killed syrias northern idlib province tuesday suspected chemical attack described among worst countrys sixyear war britainbased syrian observatory human rights monitoring group put death toll saying children among dead meanwhile idlib media center said dozens people killed comment regime damascus international agency immediate aftermath attack syrian regime source denied regime used weapons saying army used chemical weapons past future deemed claims rebel propaganda third claim chemical attack week syria previous two reported hama province area far khan sheikhoun site tuesdays alleged attack syrian american medical society supports hospitals oppositionheld territory said sent team inspectors khan sheikhoun noon investigation underway syrian activists information agent could used assault claimed attack caused airstrike carried either regime russian warplanes turkeybased syrian woman whose niece husband oneyearold daughter among killed said warplanes struck early residents still beds said speaking condition anonymity feared safety family members back syria makeshift hospitals soon crowded people suffocating province idlib almost entirely controlled syrian opposition home displaced syrians according united nations rebels opposition officials expressed concerns regime planning mount concentrated attack crowded province tuesdays reports came eve major international meeting brussels future syria region hosted eus high representative federica mogherini claims chemical weapons attacks particularly use chlorine agent uncommon syrias conflict worst attack un report said attack toxic sarin gas august damascus suburb ghouta killed hundreds civilians syrian coalition opposition group based outside country said regime planes carried airstrike khan sheikhoun south city idlib provincial capital said planes fired missiles carrying poisonous gases killing dozens people many women children coalition described attack horrifying massacre photos video emerging khan sheikhoun show limp bodies children adults seen struggling breathe others appear foaming mouth medical doctor going name dr shajul islam fears safety said hospital idlib province received three victims narrow pinpoint pupils respond light published video patients twitter account pinpoint pupils breathing difficulties foaming mouth symptoms commonly associated toxic gas exposure oppositions civil defense searchandrescue group released photos showing paramedics washing victims published casualty toll activistrun assi press published video paramedics carrying victims scene pickup truck victims stripped underwear many appeared unresponsive warplanes continued pound town attack including near medical point victims treated observatory said towns streets become empty witness said new yorkbased human rights watch accused syrian regime conducting least eight chemical attacks using chlorine gas oppositioncontrolled residential areas final months battle aleppo last year killed least nine civilians injured also joint investigation united nations international chemical weapons watchdog determined regime behind least three attacks involving chlorine gas isis group responsible least one involving mustard gas asharq alawsat english asharq alawsat worlds premier panarab daily newspaper printed simultaneously day four continents cities launched london asharq alawsat established decisive publication panarab international affairs offering readers indepth analysis exclusive editorials well comprehensive coverage entire arab world,1.0,1
