,Text,Mylabel,LabelPrediction
0,fri jun turkey coalition kills daesh terrorists northern syria aleppo least members daesh terrorist group killed thursday northern syria military operation turkish armed forces yousled coalition turkish military announced friday turkish armed forces coalition hit daesh targets three airstrikes destroying two buildings used terror group according statement turkish general staff daesh reportedly preparing attack turkey northern syria turkish military claimed since midjanuary daesh rockets targeting towns cities southern turkey close syrian border total people including syrians taken shelter turkey killed others wounded attacks anadolu agency reports,0.0,1
1,october three people killed five injured terrorist rocket attack aleppo three people killed terrorist attack rocket shells citizens houses aleppo city source aleppo police command told sana reporter terrorists positioned eastern neighborhoods aleppo areas western outskirts city fired rocket shells neighborhoods alhamadanyia halab aljadida killing three people including woman injuring five others source added attack also caused huge material damage houses infrastructures citizens properties sunday people suffered suffocation terrorist organizations targeted alhamadanyia neighborhood alassad residential suburb shells contained toxic gases,1.0,1
2,chemical attack kills five syrians aleppo sana least five syrians killed number others injured chemical attack foreignsponsored takfiri militants residential neighborhood northwestern syria least five syrians killed number others injured chemical attack foreignsponsored takfiri militants residential neighborhood northwestern syria health director aleppo mohammad hazouri said five people died eight others experienced breathing difficulties artillery shells containing toxic gasses slammed old city aleppo tuesday official sana news agency reported government sources said takfiri terrorists also used chemical munitions civilians city saraqib idlib province militants accused government forces carrying attack doctor ibrahim alassad neurologist saraqib said treated cases brought hospital monday night added victims women children suffering breathing difficulties red eyes wheezing rescuers doctors city said symptoms similar caused chlorine gas chemical raids come syrian army making progress operations retake aleppo militants seeing noose tightening around areas control,0.0,1
3,date publication october russian syrian regime war planes bombed refugee camp inside rebelheld idlib province killing five women child tags idlib syria refugee camp russian war planes air raid syrian regime five women child killed russian syrian regime war planes targeted refugee camp rebel stronghold idlib province bombs missiles struck camp situated southern idlib province close village alkhwyn victims thought refugees elsewhere syria fled rebel stronghold idlib frequent bombing regime russian war planes seen numerous massacres idlib province included refugee camps may suspected russian air raid sarmada refugee camp idlib province left dozens dead un said unlikely attack accident bombing could amount war crime last month nearly syrian civilians killed syrian network human rights claimed including children women mostly air raids regime russian forces violated human rights law guarantee right life syrian network human rights commented aleppo also witnessed massive air raids recent weeks one ferocious aerial assaults since start war hundreds civilians killed since breakdown ceasefire last month russian war planes killed civilians since first intervened syria year ago read also,0.0,1
4,wednesday october people killed russian assad regime airstrikes schools public market rural idlib airstrikes assad regime russia air forces earlier wednesday hit schools complex public market town hass rural idlib killing least civilians wounding dozens mostly schoolchildren teachers highexplosive parachuteretarded bombs used airstrikes launched joint attack assad regime russian air forces syrian coalition condemned heinous crime schoolchildren civilians statement released following attack coalition stressed deliberate targeting civilians using highexplosive weapons clearly aimed killing many people possible causing mayhem forcing civilians leave homes forcing agree local truces framework political process responsibility heinous crime lies international community world leaders active members united nations continue ignore war crimes thus risk fueling conflict undermining chances political solution coalition added coalition earlier said united nations continues ignore russias crimes violations international law urging make thorough real reconsideration positions performance syria election new secretarygeneral source syrian coalition,0.0,1
5,car bomb kills least syrias hama state media afp friday jun car bomb killed least people friday governmentcontrolled village central syrian province hama state news agency sana reported people wounded attack alhorra blamed rebels fighting overthrow president bashar alassad,0.0,1
6,isil militants killed clashes kurds ne syria least militants terrorist group operating iraq syria killed clashes kurdish troops northeastern syria thursday reports said least militants terrorist group operating iraq syria killed clashes kurdish troops northeastern syria thursday reports said fighting pitted isil militants members kurdish peoples protection units ypg village qassiab hasakeh province according syrian observatory human rights ypg regained control village two days seized terrorists said britainbased group kurds also lost three fighters clashes added isil launched last june brutal offensive several areas across iraq syria announced socalled caliphate areas however several forces including iraqi army backed kurdish fighters popular forces syria army since june waging counter attack order regain areas seized takfiri terrorists,1.0,1
7,syria monitor says air strikes kill school rebelheld idlib reuters wednesday oct syrian observatory human rights said air strikes killed least people village syrias rebelheld idlib province wednesday seven children observatory britishbased war monitor said warplanes struck several locations haas village including elementary middle school killing least one teacher well children report syrian state tv quoted military source saying number militants killed positions targeted haas mention school syrias civil war pits president bashar alassad backed russia iran shiite muslim militias lebanon iraq afghanistan array mostly sunni rebel groups including backed turkey gulf monarchies yous idlib near aleppo northwest syria contains largest populated area controlled rebels nationalist groups banner free syrian army islamist ones including former al qaeda affiliate jabhat fateh alsham high death toll strikes syrian military russian air force rebelheld areas prompted criticism western countries international human rights groups,1.0,1
8,april syrian army kills isil terrorists deir ezzor military source announced control established telal hakema hakema hills western direction deir ezzor destroying fortifications isil terrorists source told sana army units cooperation backing forces past hours carried special operations gatherings isisl terrorists western direction deir ezzor establishing control hills hilal aldusham barricades milad destroying last isis gatherings source added army units carried intensive bombardments surrounding almaqaber cemeteries area almasane factories water plant southern outskirts deir ezzor killing terrorists destroying tank machinegunequipped vehicles lattakia army units operating lattakia countryside thwarted attack launched alnusra front terrorists axes kabanikensabba northeastern countryside lattakia province sana reporter lattakia said army units cooperation supporting forces destroyed vehicles rigged explosives terrorist organizations could reach area surrounding number military points safety villages axes kabanikensabba reporter added army units terrorist groups engaged heavy clashes terrorists tried advance toward safety areas destruction vehicles large number terrorists members alnusra killed others fled away towards areas near turkishsyrian border daraa army units killed number alnusra terrorists daraa albalad allajat areas foiled attacks one military posts northwestern countryside military source told sana army unit foiled attempt alnusra terrorist groups infiltrate one military posts jadieh village km northwest daraa city killing terrorists others fled away source added army unit killed special operation members terrorist group moving allajat area toward northern countryside sweida daraa albalad military source said army carried intensive strikes gatherings movements alnusra terrorists alkarak neighborhood left aljomrok alqadeem old custom road killing terrorists destroying two cannons two heavy machineguns source sana,1.0,1
9,child killed civilians injured terrorist attacks damascus aleppo mortar fired terrorists alwafideen camp neighborhood countryside damascus saturday left child dead woman injured according police command source mortar fired terrorists alwafideen camp neighborhood countryside damascus saturday left child dead woman injured according police command source attack also caused material damage site source told sana reporter several residential areas damascus city also shelled terrorist organizations one shells landed roof one houses alsalehiyeh neighborhood three others fell aladawi neighborhood terrorist groups also fired dshk shells hit buildings george khouri square near altijara park attacks caused material damage without human casualties source confirmed aleppo eight civilians injured saturday terrorists alnusra front qaeda branch levant several armed groups operating command targeted neighborhoods aleppo city terrorists fired rocket shells neighborhoods alneel street mogambo leaving eight people injured source aleppo police command said statement sana reporter attacks caused material damage public private properties source added terrorist groups recently intensified attacks several provinces continually breaching cessation hostilities agreement since first came effect february,0.0,1
